Symbol	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	comparison	dea
hsa-miR-3196	-0.7357302970687274	-1.2716282190161121	-0.19983237512134278	-1.7744763081250277	-2.707839236795286	0.007381827038488219	0.023144198891260123	-2.850232556908391	CD vs HC	de
hsa-miR-4521	0.7223664423034664	0.2327769320864045	1.2119559525205283	-1.674098776720636	2.910125830269346	0.004038403964457678	0.013886898793909305	-2.322299204234782	CD vs HC	de
hsa-miR-589-3p	0.7207517943285928	0.39751402884226433	1.0439895598149214	1.4255244672562037	4.397946538797862	1.8060693953473173e-5	1.4809769041848e-4	2.4002518619990845	CD vs HC	de
hsa-miR-4677-3p	0.7083872743344632	0.41982614841271293	0.9969484002562136	2.2079988472494265	4.841938136675446	2.633646541636781e-6	3.264496759749777e-5	4.147155801757433	CD vs HC	de
hsa-miR-6889-3p	-0.7041014504360994	-1.0324014611978847	-0.37580143967431406	0.6322940210302717	-4.230100166979414	3.609440600388281e-5	2.788162086966599e-4	1.788535214917406	CD vs HC	de
hsa-miR-4685-3p	-0.699610802769314	-0.9674285507288822	-0.4317930548097457	4.824612149701148	-5.152327523151903	6.342366546251252e-7	9.13643613284302e-6	5.344014996397539	CD vs HC	de
hsa-miR-194-5p	0.6930666411293902	0.29051852352074736	1.0956147587380332	0.5991982407600576	3.3958109550014335	8.310702075189154e-4	0.0036308231197342777	-1.0861867441331237	CD vs HC	de
hsa-miR-10399-5p	0.6908920497770092	0.20505083313324823	1.1767332664207704	0.20833753430138108	2.8048016158220164	0.005551144436498077	0.018377391209027795	-2.764521743893511	CD vs HC	de
hsa-miR-410-3p	-0.6861181309423182	-1.2809888565450875	-0.091247405339549	-1.241702580759705	-2.2749015576164395	0.02401375601092002	0.060949199780096996	-3.9040139718873226	CD vs HC	non-de
hsa-miR-16-5p	-0.6852741579705253	-0.9876474089832381	-0.38290090695781237	11.170077870997348	-4.469997649345466	1.333579347386719e-5	1.2037170935347592e-4	2.350529902692152	CD vs HC	de
hsa-miR-598-3p	-0.6843730346737147	-1.2279778433021349	-0.1407682260452946	-1.7478128675804097	-2.483109714588751	0.013878959840545485	0.03977142793016529	-3.4037500365216977	CD vs HC	de
hsa-miR-181c-3p	0.6828592566786609	0.2844947351047512	1.0812237782525704	1.3666369694734528	3.380935279749926	8.746945407250893e-4	0.0037158230150811104	-1.2270798178318216	CD vs HC	de
hsa-miR-6769b-3p	-0.682341604679624	-1.1327223727553677	-0.23196083660388045	-0.9587490008992328	-2.9881908025376234	0.003171850651453799	0.011500655763434522	-2.1616346587338926	CD vs HC	de
hsa-miR-363-3p	-0.6722405667122509	-1.0176469316522754	-0.3268342017722264	9.489512327983817	-3.838669215440328	1.677084971646573e-4	9.93206988764026e-4	-0.034328593550646325	CD vs HC	de
hsa-miR-1976	-0.6709941599674272	-0.9448159049135415	-0.39717241502131284	3.0432026925671374	-4.833226143778158	2.738541360159035e-6	3.317369420374467e-5	4.0222362869434924	CD vs HC	de
hsa-miR-2355-5p	0.6663819279331398	0.1826478902890633	1.1501159655772162	-1.8468903475176321	2.7170827966884015	0.007186302866769642	0.02297415996876756	-2.8267256845139905	CD vs HC	de
hsa-miR-4301	0.666243549392195	0.21756310344672142	1.1149239953376686	1.1893526449503178	2.9287492052610395	0.0038139674246621693	0.013373977877269318	-2.5462071809184845	CD vs HC	de
hsa-miR-101-3p	-0.6660371137936547	-1.1033180678635781	-0.2287561597237313	5.148371397464135	-3.004167736599815	0.003017063592083747	0.011014348593018064	-2.669058605881065	CD vs HC	de
hsa-miR-320c	0.6635910474231472	0.29872914863369454	1.0284529462126	1.488889529728672	3.58722249035917	4.23783986346302e-4	0.00209145245113499	-0.5614573131207479	CD vs HC	de
hsa-miR-502-5p	0.6586566115449418	0.23205935148993484	1.085253871599949	-1.0620405421482666	3.0452805119711788	0.002650130347674632	0.010017868619223963	-1.9852440189407483	CD vs HC	de
hsa-miR-331-5p	-0.657650015389252	-1.0569175842303302	-0.25838244654817394	-0.011449309554696962	-3.2487561053721214	0.001367748817758771	0.005522803938374432	-1.4995097588630966	CD vs HC	de
hsa-miR-5001-3p	0.6573024619607462	0.4060613762784138	0.9085435476430785	3.424644582367508	5.160133135685575	6.1144414337459e-7	9.052770233851569e-6	5.460647332435881	CD vs HC	de
hsa-miR-20a-5p	-0.656485567204498	-1.0862069552190388	-0.22676417918995717	2.1750445133169385	-3.0131761564382895	0.002932880548419417	0.010844949401713311	-2.463659084475415	CD vs HC	de
hsa-miR-6737-3p	-0.6562572520035761	-0.9745922347196716	-0.3379222692874806	1.2261500882818168	-4.066081300068902	6.964140407673483e-5	4.884061628013114e-4	1.1038853429725561	CD vs HC	de
hsa-miR-451a	0.6495131778158623	0.3373373491700509	0.9616890064616737	14.995382779128622	4.103694318686811	6.000073950818304e-5	4.3808759120358303e-4	0.8800493422562923	CD vs HC	de
hsa-miR-1304-5p	-0.6474999896348101	-1.1337341683282232	-0.1612658109413972	-1.4372553440086206	-2.626519272896198	0.009320421030449118	0.028387339481310742	-3.0775835852046174	CD vs HC	de
hsa-miR-375-3p	-0.6454508631028335	-1.1435752840035862	-0.14732644220208085	-0.8632922759311094	-2.5557105247421164	0.011369007258933523	0.03329494982973388	-3.2985997809926517	CD vs HC	de
hsa-miR-20b-5p	-0.6402245807067226	-1.0125735553444364	-0.26787560606900873	1.5617019050074352	-3.39131781707659	8.440275403815663e-4	0.0036574526749867872	-1.2555519532761092	CD vs HC	de
hsa-miR-486-5p	-0.6393989000923632	-0.844108278572346	-0.4346895216123804	19.51970662002258	-6.160563728663461	4.149148006589276e-9	1.4743305916747225e-7	10.069416701201108	CD vs HC	de
hsa-miR-1294	-0.6346705747683654	-1.009943617417379	-0.2593975321193518	0.6019499082287192	-3.33570245484659	0.0010208456784853816	0.004217912764594639	-1.3050044806925776	CD vs HC	de
hsa-miR-27b-3p	-0.6329005430511145	-1.0349740165793675	-0.23082706952286153	5.370155650645576	-3.1046765107401284	0.002192189774816538	0.008528738321001567	-2.377891349593723	CD vs HC	de
hsa-miR-501-3p	0.6322036643754725	0.20139993222128044	1.0630073965296645	5.623207940581537	2.894435400096182	0.004236803115107835	0.014475743976618435	-2.9772733230848365	CD vs HC	de
hsa-let-7b-3p	0.6259350656729743	0.41810127082341486	0.8337688605225337	3.675052035805694	5.9401775197030435	1.3093690437964235e-8	3.673124738649967e-7	9.155745533607513	CD vs HC	de
hsa-miR-545-5p	0.6178748235438782	0.13638519451778153	1.0993644525699748	-1.5276475134721483	2.5310450295551914	0.012172074566217616	0.03545199859996715	-3.2986521770759234	CD vs HC	de
hsa-miR-99b-5p	0.6127053356386574	0.1985131880355917	1.026897483241723	5.382901427929981	2.917669601580058	0.003946074125347823	0.013746781103335881	-2.908503976465438	CD vs HC	de
hsa-miR-3690	0.6058435123880535	-0.011169696132066531	1.2228567209081733	-1.2662312746688644	1.9366552161802741	0.0542511283355412	0.11659617501146557	-4.576728901183951	CD vs HC	non-de
hsa-miR-30e-3p	0.6039434304471447	0.3891441573505292	0.8187427035437602	4.806563580871775	5.545615610709237	9.572642982840983e-8	1.7007395699514147e-6	7.183976229276569	CD vs HC	de
hsa-miR-3605-5p	-0.601994117615317	-1.1292508475829868	-0.07473738764764704	-1.4834689540143384	-2.251937977880021	0.025455317878282507	0.06399851145813479	-3.935236299333151	CD vs HC	non-de
hsa-miR-192-5p	0.5939669172207989	0.3427042857238497	0.845229548717748	11.492694165789185	4.662519507459191	5.827080190702039e-6	5.97275719546959e-5	3.1415541980679897	CD vs HC	de
hsa-miR-330-5p	0.5920889908711111	0.3582155150552432	0.825962466686979	2.300301119177489	4.9933536452194645	1.3252810491140771e-6	1.8112174337892388e-5	4.79969747017604	CD vs HC	de
hsa-miR-16-2-3p	0.5897541614613857	0.13504517451135972	1.0444631484114117	8.892165911326302	2.55813692038051	0.011292627311089935	0.03325397987188362	-3.9001095447287804	CD vs HC	de
hsa-miR-26b-5p	-0.5891160682647154	-0.9353162276030071	-0.24291590892642373	5.9674511382397775	-3.356293364834143	9.516966635209005e-4	0.0039941285169814164	-1.6174818795799046	CD vs HC	de
hsa-miR-106b-5p	-0.5861508346890352	-0.9234958318915768	-0.24880583748649354	5.114405197904216	-3.427057752526119	7.459760337146963e-4	0.003369535813304518	-1.380961086502329	CD vs HC	de
hsa-miR-29c-3p	-0.5861029971508751	-1.004198640096509	-0.1680073542052411	1.858280918571145	-2.7649329873922803	0.006247072267264228	0.02017993647546566	-3.115694629734694	CD vs HC	de
hsa-miR-5695	0.5855543792025402	0.27888096746946356	0.8922277909356168	1.6607875667209318	3.765974872537579	2.203249583940137e-4	0.0012106515755052505	0.011901602358882712	CD vs HC	de
hsa-miR-1843	-0.5848408464942048	-0.8796948441185624	-0.2899868488698471	2.958307095654356	-3.912163403530541	1.2676788630337324e-4	7.949092164670345e-4	0.38933743187640957	CD vs HC	non-de
hsa-miR-1468-5p	0.5791419056262788	0.32011688984948294	0.8381669214030746	3.2361881419468945	4.409908630907264	1.7178110288072126e-5	1.453322664054356e-4	2.2848847030465116	CD vs HC	non-de
hsa-miR-190a-5p	-0.5786540667861289	-1.093608099348991	-0.06370003422326687	-0.8249566676441871	-2.216342404247938	0.02783900087786612	0.06869531235140111	-4.0814281766331035	CD vs HC	non-de
hsa-miR-21-5p	-0.5750802804669073	-0.9932561667954974	-0.15690439413831714	5.735659540238286	-2.712412887753429	0.007284489746194593	0.02297415996876756	-3.4756354351351284	CD vs HC	non-de
hsa-miR-362-5p	0.5734767998077632	0.23912983961091128	0.9078237600046152	1.7042970561570945	3.3830216992261106	8.684494946089752e-4	0.0037158230150811104	-1.2599406786000173	CD vs HC	non-de
hsa-miR-1307-5p	0.5703202661138596	0.2633410676121212	0.8772994646155978	4.577174254218766	3.6643433963783796	3.2052757286402887e-4	0.0016586523916167707	-0.5616514419463492	CD vs HC	non-de
hsa-miR-340-3p	0.5683998572183784	0.29890633076188683	0.8378933836748699	3.7321303626092637	4.159986604627606	4.7915952470518354e-5	3.547111481498095e-4	1.271184760376574	CD vs HC	non-de
hsa-miR-6806-3p	0.5671160637546186	0.171250628862547	0.9629814986466902	0.042608667428843026	2.8255999587437066	0.005216793680078106	0.017378443946760188	-2.6813243356532053	CD vs HC	non-de
hsa-miR-431-5p	-0.566791968889817	-1.1304255480249763	-0.0031583897546577644	-0.31164154754452567	-1.9834129227817454	0.04874253292746766	0.10735442169562093	-4.597601468865205	CD vs HC	non-de
hsa-miR-6738-3p	-0.5647722484654587	-1.0827957586349723	-0.04674873829594506	-1.7773316227994809	-2.150355120563484	0.03277387569970438	0.07798426673188587	-4.130191362624086	CD vs HC	non-de
hsa-miR-148a-5p	0.5642495281685846	0.3320185821359384	0.7964804742012309	3.7066276535183342	4.7922274519431	3.288886874776039e-6	3.840697533917272e-5	3.8263834983494327	CD vs HC	non-de
hsa-miR-6503-3p	0.5564087528509961	0.1830793275321828	0.9297381781698094	0.23883650606586074	2.939598661003338	0.003688541447374238	0.013194581150674288	-2.399440290872337	CD vs HC	non-de
hsa-miR-15b-5p	-0.5551569036752433	-0.9186659516436307	-0.19164785570685583	5.642950607414791	-3.0122209803579327	0.00294170310145571	0.010844949401713311	-2.652293710984458	CD vs HC	non-de
hsa-miR-3613-3p	0.5525662162801339	0.23513736964343757	0.8699950629168303	1.473416788423978	3.4333987687293805	7.29734307652519e-4	0.0033243451793059198	-1.083941846655459	CD vs HC	non-de
hsa-miR-10a-5p	0.551839352078594	0.2951814852135815	0.8084972189436066	7.070701444050378	4.240766847373659	3.456110576851814e-5	2.708980790385319e-4	1.4895459612635662	CD vs HC	non-de
hsa-miR-636	-0.5479003409628351	-0.7838229352818401	-0.31197774664383016	5.030536581618131	-4.580557559025317	8.3152376189002e-6	8.207447501618161e-5	2.871287226556447	CD vs HC	non-de
